Organization Name,Organization Name URL,Industries,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Number of Funding Rounds,Founded Date,Founded Date Precision,Stock Symbol,Stock Symbol URL,Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD)
Iflytek,https://www.crunchbase.com/organization/anhui-ustc-iflytek-science-and-technology-co-ltd,"Artificial Intelligence (AI), Information Technology, Software, Speech Recognition",3067960000,CNY,444658337,5,1999-12-30,day,002230,https://www.crunchbase.com/ipo/anhui-ustc-iflytek-science-and-technology-co-ltd-ipo--127342ca,,,
TAL Education Group,https://www.crunchbase.com/organization/tal,"EdTech, Education, Knowledge Management, STEM Education, Tutoring",3800000000,USD,3800000000,2,2003-08-01,day,IZZ,https://www.crunchbase.com/ipo/tal-ipo--d5f76e7a,,,
Shiji Group,https://www.crunchbase.com/organization/beijing-shiji-information-technology,"Hospitality, Point of Sale, Retail Technology, Security, Software",942910718,USD,942910718,2,1998-02-06,day,002153,https://www.crunchbase.com/ipo/beijing-shiji-information-technology-ipo--07cae8c5,,,
UCloud Information Technology,https://www.crunchbase.com/organization/ucloud-information-technology,"Big Data, Cloud Computing, Cloud Data Services, E-Commerce, Enterprise Software, Information Technology",314429434,USD,314429434,6,2011-01-01,year,688158,https://www.crunchbase.com/ipo/ucloud-information-technology-ipo--f1aa4986,30400000000,CNY,4427034032
infobird,https://www.crunchbase.com/organization/infobird,"Call Center, Cloud Computing, Customer Service, Machine Learning, SaaS",30443812,USD,30443812,2,2001-10-26,day,IFBD,https://www.crunchbase.com/ipo/infobird-ipo--19982623,101000000,USD,101000000
Kingdee,https://www.crunchbase.com/organization/kingdee,"E-Commerce, Enterprise Software, Government, Software",384268380,USD,384268380,5,1993-08-08,day,0268,https://www.crunchbase.com/ipo/kingdee-ipo--a5183a0f,,,
Kingsoft Cloud,https://www.crunchbase.com/organization/kingsoft-cloud,"Cloud Computing, Cloud Infrastructure, Internet, Web Hosting",968480000,USD,968480000,10,2012-01-01,year,3896,https://www.crunchbase.com/ipo/kingsoft-cloud-ipo--a5b6068a,,,
Global Data Solutions,https://www.crunchbase.com/organization/global-data-solutions,"Data Center, Information Technology, Private Social Networking, Software",1317000000,USD,1317000000,5,2000-01-01,year,GDS,https://www.crunchbase.com/ipo/global-data-solutions-ipo--bd751c12,,,
17zuoye,https://www.crunchbase.com/organization/17zuoye,"E-Learning, EdTech, Education, Internet, Language Learning",585000000,USD,585000000,7,2011-01-01,year,YQ,https://www.crunchbase.com/ipo/17zuoye-ipo--740bd8a6,2250000000,USD,2250000000
CooTek,https://www.crunchbase.com/organization/cootek,"Android, Artificial Intelligence (AI), iOS, Machine Learning, Mobile Apps, Natural Language Processing, Software",196171853,USD,196171853,7,2008-01-01,year,CTK,https://www.crunchbase.com/ipo/cootek-ipo--9a04e07c,,,
