公司简称,工商全称,统一信用代码,官网,一句话简介,公司简介,行业,子行业,省,市,成立时间,运营状态,员工人数,地址,电话,邮箱,团队姓名,职位,融资次数,融资总额(万人民币)
2345,上海二三四五网络科技有限公司,,http://2345.net/,IT及金融科技服务提供商,2345是一家IT及金融科技服务提供商，致力于网络科技、金融科技、星球联盟业务，旗下拥有2345王牌输入法、2345看图王、2345浏览器、2345车贷王等产品。,企业服务,企业IT服务,上海,徐汇区,2005-01,运营中,,上海市张江高科技园区环科路555弄2号楼,,,,,,
荣志集团,荣志集团控股有限公司,,,保安系统及服务提供商,荣志集团是一家保安系统及服务提供商，主要在香港从事提供保安相关工程服务，其次是提供保安护卫及安检服务以及相关职业培训服务。公司的服务所涉及的保安系统可大致上分为威胁侦测系统、交通及行人管制系统及特低压系统。,企业服务,企业安全,香港,中西区,2021-03,运营中,405.0,,,,,,,
君逸数码,四川君逸数码科技股份有限公司,91510100737730294R,http://www.joyoudigital.com/,智慧城市综合解决方案提供商,君逸数码是一家专业的智慧城市综合解决方案提供商，主营业务是为智慧城市领域客户提供系统集成服务、运维服务和自研产品销售等产品和服务。公司主要采用物联网、云计算、大数据、人工智能、BIM等新一代信息应用技术，为客户提供集“应用软件定制开发”和“智能化、信息化系统集成服务”为一体的智慧城市行业综合解决方案，业务环节涵盖智慧城市项目的技术咨询、方案设计、软硬件的开发、系统集成、项目实施和运营维护等。,企业服务,综合企业服务,四川,成都,2002-05,运营中,,成都高新区天府三街288号1号楼13层2-7号,028- 6313-8188,,,,,
西高院,西安高压电器研究院股份有限公司,91610131294242207P,http://www.xihari.com/,电气领域检测服务商,西高院主要从事电气领域检测、计量、认证及技术咨询服务业务，开展相关技术研究、标准制修订及行业管理和服务工作。,企业服务,科研和社会服务,陕西,西安,2001-10,运营中,,国陕西省西安市西二环北段18号,029-8422-5570,lab@xihari.com,,,,
安邦护卫,安邦护卫集团股份有限公司,91330000785683832W,https://www.zjabhw.com/,金融武装押运公司,安邦护卫是一家综合性的安全服务提供商，目前主营业务覆盖金融安全服务、综合安防服务和安全应急服务三个领域，正积极拓展海外安保业务。,企业服务,企业安全,浙江,杭州,2006-02,运营中,,浙江省杭州市西湖区转塘街道枫桦路6号之江财富中心E8楼,057-18688-1179,,吴高峻,董事长,,
世纪恒通,世纪恒通科技股份有限公司,91520115789752508E,http://sjht.com/,手机信息服务及移动增值业务提供商,世纪恒通是一家专业的信息技术服务商，通过自主开发技术平台及搭建服务网络，为金融机构、电信运营商、互联网公司、高速集团等拥有众多个人用户的大型企业客户提供用户增值和拓展服务。,企业服务,企业IT服务,贵州,贵阳,2006-06,运营中,,贵阳市贵阳国家高新技术产业开发区中关村贵阳科技园核心区南园科教街188号,0851-8460-0889,sjhtzqb@126.com,,,,
通达海,南京通达海科技股份有限公司,91320106249663766N,http://www.tdhnet.com.cn/,司法信息化系统建设服务商,通达海是专业从事司法信息系统研发、信息技术服务的高科技公司。为客户提供专业化产品、解决方案和优质服务。服务法院、检察院、纪检监察、司法行政、金融机构、律师等各类客户，拥有以“智慧审判”、“智慧执行”、“智慧诉服”、“智慧管理”为代表的智慧法院整体解决方案和百余项自主软件产品。,企业服务,企业IT服务,江苏,南京,1995-03,运营中,,南京市鼓楼区集慧路16号联创大厦B座20层,025-8655-1940,TDH@tdhnet.com.cn,郑建国,董事长,,
中科创达,中科创达软件股份有限公司,91110000672354637K,http://www.thundersoft.com,智能操作系统产品和技术提供商,中科创达是一家智能操作系统产品和技术提供商。致力于提供卓越的智能操作系统产品、技术及解决方案，立足智能终端操作系统，聚焦人工智能关键技术，助力并加速智能手机、智能物联网、智能网联汽车、智能行业等领域的产品化与技术创新。,企业服务,企业IT服务,北京,海淀区,2008-03,运营中,,,,TIANZY1225@THUNDERSOFT.COM,耿增强,总裁,,
永信至诚,北京永信至诚科技股份有限公司,91110108562135265P,http://www.integritytech.com.cn/,专精于各类信息安全系统、平台及定制化软件,永信至诚是一家专业的网络安全公司。基于核心团队深厚的攻防技术基因，秉承“人是安全的核心”的主导思想，主营产品包括政企网络安全产品、政企网络安全服务及互联网安全业务。公司打造了国内知名的网络安全教育平台，是网安人才培养领军企业；举办了一系列影响力重大的网络安全赛事和演练活动；研制了具备国内领先水平的城市级网络靶场；开创性地研制了高处置态势感知和高甜度春秋云阵蜜罐类产品。公司践行“聚焦优势、合作共生、有信有诺”的价值观，追求实现“带给世界安全感”的愿景使命。,企业服务,企业安全,北京,海淀区,2010-09,运营中,,北京市海淀区丰豪东路9号院6号楼,010-5086-6166,liuxiu@integritytech.com.cn,蔡晶晶,CEO,,
数科集团,数科集团控股有限公司,,http://www.mttgholdings.com/,垂直整合资讯科技解决方案供应商,数科集团是一家垂直整合资讯科技解决方案供应商，主要从事于香港分销资讯科技产品以及于香港、中国及澳门提供系统整合解决方案，其产品及解决方案主要分为数据通讯及系统基建、网络安全及数码转型，其向经销商介绍、营销及分销包括硬件、软件及或配套产品在内种类丰富的资讯科技产品。,企业服务,企业IT服务,香港,九龙城区,2020-09,运营中,,香港九龙观塘巧明街107号国基集团中心8楼,00852-3755-8400,Info@mttgholdings.com,,,,
