公司ID,公司简称,工商全称,统一信用代码,官网,一句话简介,公司简介,行业,子行业,省,市,成立时间,运营状态,融资总额(万人民币),估值(万人民币),估值(估算-万人民币),年营收(亿元),年度利润(亿元),员工人数,融资时间,轮次,金额,币种,等值人民币(万),投资机构,地址,电话,邮箱,团队姓名,职位
42812312.0,君逸数码,四川君逸数码科技股份有限公司,91510100737730294R,http://www.joyoudigital.com/,智慧城市综合解决方案提供商,君逸数码是一家专业的智慧城市综合解决方案提供商，主营业务是为智慧城市领域客户提供系统集成服务、运维服务和自研产品销售等产品和服务。公司主要采用物联网、云计算、大数据、人工智能、BIM等新一代信息应用技术，为客户提供集“应用软件定制开发”和“智能化、信息化系统集成服务”为一体的智慧城市行业综合解决方案，业务环节涵盖智慧城市项目的技术咨询、方案设计、软硬件的开发、系统集成、项目实施和运营维护等。,企业服务,综合企业服务,四川,成都,2002-05,运营中,132700.0,386000.0,482500.0,4.1,0.82951,284,2023-07-26,IPO上市,965000000.0,人民币,965000000.0,,成都高新区天府三街288号1号楼13层2-7号,028- 6313-8188,,,
42812312.0,君逸数码,四川君逸数码科技股份有限公司,91510100737730294R,,智慧城市综合解决方案提供商,,企业服务,综合企业服务,四川,成都,2002-05,运营中,132700.0,386000.0,482500.0,4.1,0.82951,284,2023-06-20,退市,,人民币,,,成都高新区天府三街288号1号楼13层2-7号,,,,
42812312.0,君逸数码,四川君逸数码科技股份有限公司,91510100737730294R,,智慧城市综合解决方案提供商,,企业服务,综合企业服务,四川,成都,2002-05,运营中,132700.0,386000.0,482500.0,4.1,0.82951,284,2020-12-20,新三板定增,117000000.0,人民币,117000000.0,江苏高投,成都高新区天府三街288号1号楼13层2-7号,,,,
42812312.0,君逸数码,四川君逸数码科技股份有限公司,91510100737730294R,,智慧城市综合解决方案提供商,,企业服务,综合企业服务,四川,成都,2002-05,运营中,132700.0,386000.0,482500.0,4.1,0.82951,284,2017-06-29,新三板定增,45000000.0,人民币,45000000.0,"成都高投,蓉兴创投,泓石资本",成都高新区天府三街288号1号楼13层2-7号,,,,
42812312.0,君逸数码,四川君逸数码科技股份有限公司,91510100737730294R,,智慧城市综合解决方案提供商,,企业服务,综合企业服务,四川,成都,2002-05,运营中,132700.0,386000.0,482500.0,4.1,0.82951,284,2016-03-28,新三板,,人民币,,,成都高新区天府三街288号1号楼13层2-7号,,,,
42782781.0,西高院,西安高压电器研究院股份有限公司,91610131294242207P,http://www.xihari.com/,电气领域检测服务商,西高院主要从事电气领域检测、计量、认证及技术咨询服务业务，开展相关技术研究、标准制修订及行业管理和服务工作。,企业服务,科研和社会服务,陕西,西安,2001-10,运营中,112100.0,448400.0,560500.0,5.21,1.41,	631,2023-06-19,IPO上市,1121000000.0,人民币,1121000000.0,,国陕西省西安市西二环北段18号,029-8422-5570,lab@xihari.com,,
42759306.0,安邦护卫,安邦护卫集团股份有限公司,91330000785683832W,https://www.zjabhw.com/,金融武装押运公司,安邦护卫是一家综合性的安全服务提供商，目前主营业务覆盖金融安全服务、综合安防服务和安全应急服务三个领域，正积极拓展海外安保业务。,企业服务,企业安全,浙江,杭州,2006-02,运营中,61300.0,205200.0,256500.0,23.79,3.38,16745,2023-12-20,IPO上市,513000000.0,人民币,513000000.0,,浙江省杭州市西湖区转塘街道枫桦路6号之江财富中心E8楼,057-18688-1179,,吴高峻,董事长
42759306.0,安邦护卫,安邦护卫集团股份有限公司,91330000785683832W,,金融武装押运公司,,企业服务,企业安全,浙江,杭州,2006-02,运营中,61300.0,205200.0,256500.0,23.79,3.38,16745,2020-09-21,战略投资,,人民币,,浙江省财政厅,浙江省杭州市西湖区转塘街道枫桦路6号之江财富中心E8楼,,,,
42758180.0,世纪恒通,世纪恒通科技股份有限公司,91520115789752508E,http://sjht.com/,手机信息服务及移动增值业务提供商,世纪恒通是一家专业的信息技术服务商，通过自主开发技术平台及搭建服务网络，为金融机构、电信运营商、互联网公司、高速集团等拥有众多个人用户的大型企业客户提供用户增值和拓展服务。,企业服务,企业IT服务,贵州,贵阳,2006-06,运营中,85000.0,260000.0,325000.0,9.15,0.842884,1269,2023-05-19,IPO上市,650000000.0,人民币,650000000.0,,贵阳市贵阳国家高新技术产业开发区中关村贵阳科技园核心区南园科教街188号,0851-8460-0889,sjhtzqb@126.com,,
42758180.0,世纪恒通,世纪恒通科技股份有限公司,91520115789752508E,,手机信息服务及移动增值业务提供商,,企业服务,企业IT服务,贵州,贵阳,2006-06,运营中,85000.0,260000.0,325000.0,9.15,0.842884,1269,2018-05-24,战略投资,,人民币,,"融创投资,熔岩投资,诺延资本",贵阳市贵阳国家高新技术产业开发区中关村贵阳科技园核心区南园科教街188号,,,,
42758180.0,世纪恒通,世纪恒通科技股份有限公司,91520115789752508E,,手机信息服务及移动增值业务提供商,,企业服务,企业IT服务,贵州,贵阳,2006-06,运营中,85000.0,260000.0,325000.0,9.15,0.842884,1269,2014-09-29,战略投资,,人民币,,"熔岩投资,贵阳高新投",贵阳市贵阳国家高新技术产业开发区中关村贵阳科技园核心区南园科教街188号,,,,
42081108.0,通达海,南京通达海科技股份有限公司,91320106249663766N,http://www.tdhnet.com.cn/,司法信息化系统建设服务商,通达海是专业从事司法信息系统研发、信息技术服务的高科技公司。为客户提供专业化产品、解决方案和优质服务。服务法院、检察院、纪检监察、司法行政、金融机构、律师等各类客户，拥有以“智慧审判”、“智慧执行”、“智慧诉服”、“智慧管理”为代表的智慧法院整体解决方案和百余项自主软件产品。,企业服务,企业IT服务,江苏,南京,1995-03,运营中,109300.0,437200.0,546500.0,4.63,0.902627,1931,2023-03-20,IPO上市,1093000000.0,人民币,1093000000.0,,南京市鼓楼区集慧路16号联创大厦B座20层,025-8655-1940,TDH@tdhnet.com.cn,郑建国,董事长
