公司简称,融资时间,轮次,金额,币种,等值人民币(万),投资机构
2345,,,,,,
荣志集团,2024-01-24,IPO上市,未透露,人民币,,
Rand Capital,,,,,,
君逸数码,2023-07-26,IPO上市,9.65亿,人民币,,
西高院,2023-06-19,IPO上市,11.21亿,人民币,,
安邦护卫,2023-12-20,IPO上市,5.13亿,人民币,,
世纪恒通,2023-05-19,IPO上市,6.5亿,人民币,,
通达海,2023-03-20,IPO上市,10.93亿,人民币,,
中科创达,2020-08-12,IPO上市后,17.01亿,人民币,,"中金公司,易方达基金,太平洋保险,国泰君安,中信建投资本,阳光保险,嘉实投资-嘉实基金,大正投资集团,财通基金,中意资产"
永信至诚,2022-10-19,IPO上市,5.76亿,人民币,,
数科集团,2022-09-26,IPO上市,7120万,港元,,
趣活科技,2020-07-10,IPO上市,3300万,美元,,
声网Agora,2020-06-26,IPO上市,4.6亿,美元,,
动力源,2004-04-01,IPO上市,2.49亿,人民币,,
致远互联,2019-10-31,IPO上市,9.51亿,人民币,,
金山云,2022-12-30,IPO上市,未透露,港元,,
e签宝,2021-09-18,并购,未透露,人民币,,金格科技
品高软件,2021-12-30,IPO上市,9.17亿,人民币,,
旗天科技集团,2010-03-19,IPO上市,2.7亿,人民币,,
智微智能,2022-08-15,IPO上市,10.41亿,人民币,,
麒麟信安,2024-02-01,IPO上市后,未透露,人民币,,
易点云,2023-05-25,IPO上市,5.97亿,港元,,
鸥玛软件,2021-11-19,IPO上市,4.56亿,人民币,,
猎聘网,2018-06-29,IPO上市,29.04亿,港元,,
人瑞人才,2019-12-13,IPO上市,9.22亿,港元,,
金蝶软件,2023-12-11,IPO上市后,2亿,美元,,卡塔尔投资局QIA
极光,2018-07-27,IPO上市,2亿,美元,,
立方控股,2023-11-02,IPO上市,1.12亿,人民币,,
世纪互联,2023-12-29,IPO上市后,2.99亿,美元,,山高控股
榕基软件,2018-09-30,IPO上市后,未透露,人民币,,中国人寿
莱斯信息,2023-06-28,IPO上市,10.33亿,人民币,,
工大高科,2021-06-28,IPO上市,1.87亿,人民币,,
Boss直聘,2022-12-22,IPO上市,未透露,港元,,
普联软件,2021-06-03,IPO上市,3.98亿,人民币,,
北森,2023-04-13,IPO上市,1.55亿,港元,,
亚信安全,2022-02-09,IPO上市,11.23亿,人民币,,
金山办公,2019-11-18,IPO上市,46.3亿,人民币,,
线上线下,2021-03-22,IPO上市,4.14亿,人民币,,
