公司ID,公司简称,工商全称,统一信用代码,一句话简介,行业,子行业,省,市,地址,成立时间,运营状态,融资总额(万人民币),估值(万人民币),估值(估算-万人民币),年营收(亿元),年度利润(亿元),员工人数,融资次数
42812312.0,君逸数码,四川君逸数码科技股份有限公司,91510100737730294R,智慧城市综合解决方案提供商,企业服务,综合企业服务,四川,成都,成都高新区天府三街288号1号楼13层2-7号,2002-05,运营中,132700.0,386000.0,482500.0,4.1,0.82951,284,5.0
42782781.0,西高院,西安高压电器研究院股份有限公司,91610131294242207P,电气领域检测服务商,企业服务,科研和社会服务,陕西,西安,国陕西省西安市西二环北段18号,2001-10,运营中,112100.0,448400.0,560500.0,5.21,1.41,	631,1.0
42759306.0,安邦护卫,安邦护卫集团股份有限公司,91330000785683832W,金融武装押运公司,企业服务,企业安全,浙江,杭州,浙江省杭州市西湖区转塘街道枫桦路6号之江财富中心E8楼,2006-02,运营中,61300.0,205200.0,256500.0,23.79,3.38,16745,2.0
42758180.0,世纪恒通,世纪恒通科技股份有限公司,91520115789752508E,手机信息服务及移动增值业务提供商,企业服务,企业IT服务,贵州,贵阳,贵阳市贵阳国家高新技术产业开发区中关村贵阳科技园核心区南园科教街188号,2006-06,运营中,85000.0,260000.0,325000.0,9.15,0.842884,1269,3.0
42081108.0,通达海,南京通达海科技股份有限公司,91320106249663766N,司法信息化系统建设服务商,企业服务,企业IT服务,江苏,南京,南京市鼓楼区集慧路16号联创大厦B座20层,1995-03,运营中,109300.0,437200.0,546500.0,4.63,0.902627,1931,1.0
227.0,中科创达,中科创达软件股份有限公司,91110000672354637K,智能操作系统产品和技术提供商,企业服务,企业IT服务,北京,海淀区,南京市鼓楼区集慧路16号联创大厦B座20层,2008-03,运营中,258100.0,2377300.0,850500.0,52.42,4.24,13119,5.0
27354.0,永信至诚,永信至诚科技集团股份有限公司,91110108562135265P,专精于各类信息安全系统、平台及定制化软件,企业服务,企业安全,北京,海淀区,北京市海淀区丰豪东路9号院6号楼,2010-09,运营中,109100.0,230400.0,288000.0,3.31,0.573891,453,7.0
40688508.0,数科集团,数科集团控股有限公司,91110108562135265P,垂直整合资讯科技解决方案供应商,企业服务,企业IT服务,香港,九龙城区,香港九龙观塘巧明街107号国基集团中心8楼,2020-09,运营中,5696.0,42560.0,28480.0,7.57,0.52965,173,1.0
2428.0,趣活科技, 趣活有限公司,911101085923799229,多场景人力资源资产运营解决方平台,企业服务,人力资源,北京,朝阳区,香港九龙观塘巧明街107号国基集团中心8楼,2012-03,运营中,49700.0,2145.0,107250.0,37.02,0.05081,495,5.0
21629.0,声网Agora, 声网有限公司,91310110093802968T,移动端音视频实时传输的云服务解决方案,企业服务,企业IT服务,上海,杨浦区,上海市杨浦区伟成路62号5层,2014-03,运营中,482950.0,149500.0,149500.0,1.42,-0.86797,1022,6.0
39919882.0,动力源,北京动力源科技股份有限公司,911100001021218238,科技推广和应用服务商,企业服务,其他企业服务,北京,丰台区,北京市丰台区科技园区星火路8号,1995-01,运营中,482950.0,256200.0,149500.0,10.42,-1.46,2189,1.0
30626.0,致远互联,北京致远互联软件股份有限公司,91110108737656338N,协同管理软件及云服务提供商,企业服务,办公OA,北京,海淀区,北京市海淀区北坞村路甲25号静芯园N座,2002-03,运营中,133350.0,577400.0,475500.0,10.32,0.951091,2699,4.0
3151.0,金山云,金山云,9111010857121431XA,云计算服务提供商,企业服务,企业IT服务,北京,海淀区,北京市海淀区小营西路33号金山软件大厦,2011-03,运营中,989912.0,605760.0,40000.0,72.26,-21.66,4221,10.0
9637.0,品高软件,广州市品高软件股份有限公司,91440101745973157W,IT综合服务提供商,企业服务,企业IT服务,广东,广州,广州市天河区高唐软件产业基地软件路17号G1栋,2010-01,运营中,91720.0,419300.0,458600.0,4.71,0.572382,966,1.0
39107988.0,旗天科技集团,旗天科技集团股份有限公司,913100006073633775,数字生活营销服务商,企业服务,前沿技术,上海,浦东新区,上海市浦东新区张江丹桂路999号张江国创中心一期C5幢,1996-12,运营中,27000.0,317500.0,135000.0,12.56,0.66561,876,1.0
39086273.0,智微智能,深圳市智微智能科技股份有限公司,91440300582702079P,物联网核心解决方案商,企业服务,行业信息化及解决方案,广东,深圳,深圳市福田区车公庙泰然九路海松大厦B-1303,2011-09,运营中,104100.0,416000.0,520500.0,27.0,2.15,1621,1.0
39069018.0,麒麟信安,湖南麒麟信安科技股份有限公司,914301003385143085,信息安全解决方案提供商,企业服务,企业安全,湖南,长沙,长沙高新开发区麒云路20号麒麟科技园1栋4楼,2015-04,运营中,103100.0,260000.0,50000.0,4.0,"1,39",579,4.0
19694.0,易点云,北京易点淘网络技术有限公司,911101083180629225,企业IT租赁服务与管理平台,企业服务,企业IT服务,北京,海淀区,北京市海淀区安宁庄南路易点租大厦,2014-10,运营中,192068.0,468160.0,238800.0,13.02,-9.02,1734,10.0
38954045.0,鸥玛软件,山东山大鸥玛软件股份有限公司,91370000772057998D,软件和信息技术服务公司,企业服务,企业IT服务,山东,济南,山东省济南市高新区伯乐路128号,2005-02,运营中,45570.0,182200.0,227850.0,2.1,0.880975,342,1.0
7826.0,猎聘网, 同道猎聘集团,91110105793416662C,高端人才社区化招聘网站,企业服务,人力资源,北京,朝阳区,北京市朝阳区八里庄北里220号中远物流大厦配楼3层,2006-10,运营中,477020.0,1161600.0,1161600.0,24.37,0.29503,2000,6.0
3016.0,人瑞人才,上海人瑞网络科技有限公司,913101080558962113,人力资源综合服务提供商,企业服务,人力资源,上海,静安区,上海市静安区恒丰路200号泰禾大厦7、8楼,2012-10,运营中,89760.0,319120.0,368800.0,45.44,0.74579,"34,934",4.0
20908.0,金蝶软件,金蝶国际,914403006188392540,企业云服务ERP解决方案提供商,企业服务,企业IT服务,广东,深圳,上海市静安区恒丰路200号泰禾大厦7、8楼,1993-06,运营中,329742.0,3600000.0,650000.0,61.29,-3.5,"	11,968",8.0
1969.0,极光, 和讯华谷信息技术有限公司,914403005977642993,实时大数据综合服务商,企业服务,数据服务,广东,深圳,深圳市南山区智恒产业园7栋5楼;南山区南头关口二路智恒战略性新兴产业园7栋501,2012-09,运营中,178100.0,433550.0,650000.0,2.9,-0.64554,460,5.0
28212.0,立方控股,杭州立方控股股份有限公司,91330100721062535Y,智慧物联解决方案提供商和运营商,企业服务,行业信息化及解决方案,浙江,杭州,浙江省杭州市西湖区西斗门路3号天堂软件园D幢11楼A座,2000-04,运营中,41300.0,69300.0,56000.0,4.65,0.430232,1054,5.0
15645.0,世纪互联,北京世纪互联宽带数据中心有限公司,9111010578615131XD,第三方的互联网基础设施服务提供商,企业服务,云服务,北京,朝阳区,北京市朝阳区酒仙桥东路10号,2006-03,运营中,969850.0,300000.0,971750.0,74.13,-24.83,3293,8.0
38552496.0,榕基软件,福建榕基软件股份有限公司,913500006285075795,行业应用软件开发服务提供商,企业服务,开发者服务,福建,福州,福州市鼓楼区铜盘路福州软件园产业基地,1993-10,运营中,106200.0,360000.0,50000.0,6.66,0.095768,888,2.0
38513296.0,莱斯信息,南京莱斯信息技术股份有限公司,913201001348786874,民用指挥信息系统整体解决方案提供商,企业服务,企业IT服务,江苏,南京,南京市秦淮区永智路8号,1988-07,运营中,103300.0,413200.0,516500.0,15.76,0.969348,895,1.0
30844.0,工大高科,合肥工大高科信息科技股份有限公司,91340100726317672P,工程安全监控产品研发商,企业服务,行业信息化及解决方案,安徽,合肥,安徽省合肥市合肥国家高新技术产业开发区天智路27号,2000-12,运营中,58650.0,224200.0,93250.0,3.016,0.4229,223,5.0
16426.0,Boss直聘,北京华业基石网络技术有限公司,91110105059255438G,BOSS与牛人直接开聊的招聘工具,企业服务,人力资源,北京,朝阳区,北京市朝阳区太阳宫中路8号冠捷大厦302,2012-12,运营中,843900.0,5368000.0,40000.0,59.52,12.22,24293,8.0
38207485.0,普联软件,普联软件股份有限公司,913701007317289784,企业管理信息化方案及IT综合服务提供商,企业服务,行业信息化及解决方案,山东,济南,济南市高新区齐鲁软件园B座,2001-09,运营中,39840.0,183400.0,199200.0,6.94,1.63,2470,1.0
6696.0,北森,北京北森云计算股份有限公司,91110108775491714G,一体化人才管理云平台供应商,企业服务,人力资源,北京,海淀区,北京市海淀区上地东路35号颐泉汇7层,2002-01,运营中,297900.0,300000.0,300000.0,7.51,-25,1901,9.0
37997160.0,亚信安全,亚信安全科技股份有限公司,91510100732356360H,网络安全软件提供商,企业服务,企业安全,江苏,南京,南京市雨花台区花神大道98号东久创新中心1号楼1-4F,2014-11,运营中,122600.0,1120400.0,561500.0,16.67,2.12,2882,3.0
7014.0,金山办公,北京金山办公软件股份有限公司,91110108587665983J,办公软件工具,企业服务,办公OA,北京,海淀区,北京市海淀区小营西路33号二层商业办公C区,1988-06,运营中,495500.0,6456100.0,2315000.0,45.56,13.9,4558,2.0
37919573.0,线上线下,无锡线上线下通讯信息技术股份有限公司,913202110535042298,移动互联网运营支撑服务商,企业服务,企业IT服务,江苏,无锡,无锡市高浪东路999号-8-C1-701,2012-09,运营中,43400.0,327800.0,207000.0,19.37,0.561654,239,2.0
8858.0,光环新网,北京光环新网科技股份有限公司,91110000700006921H,一家互联网基础设施综合服务提供商,企业服务,企业IT服务,北京,东城区,无锡市高浪东路999号-8-C1-701,1999-01,运营中,74800.0,3909900.0,261500.0,78.55,4.87,1148,3.0
30820.0,鸿冠信息,上海鸿冠信息科技股份有限公司,91310000792763857Q,IT综合服务提供商,企业服务,企业IT服务,上海,黄浦区,上海市黄浦区汉口路300号解放日报大厦10楼,2006-09,运营中,74800.0,3909900.0,261500.0,1.17,0.060656,1148,
23075.0,山石网科,山石网科通信技术股份有限公司,91320505578177101Y,网络安全解决方案提供商,企业服务,企业安全,北京,海淀区,北京市海淀区宝盛南路1号院20号楼5层,2007-02,运营中,269300.0,940000.0,474500.0,9.01,-2.6,1741,8.0
37532467.0,威士顿,上海威士顿信息技术股份有限公司,9131000070326044X6,企业信息系统解决方案提供商,企业服务,行业信息化及解决方案,上海,长宁区,上海市长宁区长宁路999号643室,2001-05,运营中,71000.0,284000.0,355000.0,3.07,0.690589,420,1.0
11750.0,英方软件,上海英方软件股份有限公司,91310000580604539W,专注于数据复制和灾备服务,企业服务,企业IT服务,上海,闵行区,上海市浦锦路2049弄万科VMO花园广场38幢6楼615室,2011-08,运营中,146440.0,800000.0,406000.0,1.97,0.354614,472,8.0
37369023.0,杰创智能,杰创智能科技股份有限公司,91440101683276435R,智能化解决方案提供商,企业服务,行业信息化及解决方案,广东,广州,广东省广州市高新技术产业开发区科学大道162号B3栋,2008-12,运营中,100100.0,400400.0,500500.0,7.51,0.613537,708,1.0
21412.0,优客工场,优客工场(北京)创业投资有限公司,91110113335534135Y,主打创业的共享办公空间,企业服务,创业服务,北京,朝阳区,北京市朝阳区光华路2号阳光100D座,2015-04,运营中,1099850.0,1000.0,325000.0,2.7,-0.51645,357,19.0
37176293.0,声迅股份,北京声迅电子股份有限公司,911101081011420915,安防整体解决方案和运营服务提供商,企业服务,企业安全,北京,海淀区,北京市海淀区永丰高新技术产业基地丰贤中路7号孵化楼四层,1994-01,运营中,41500.0,165800.0,207500.0,3.17,0.38087,587,1.0
