公司简称,融资时间,轮次,金额,币种,等值人民币(万),投资机构
君逸数码,2023-07-26,IPO上市,965000000.0,人民币,965000000.0,
君逸数码,2023-06-20,退市,,人民币,,
君逸数码,2020-12-20,新三板定增,117000000.0,人民币,117000000.0,江苏高投
君逸数码,2017-06-29,新三板定增,45000000.0,人民币,45000000.0,"成都高投,蓉兴创投,泓石资本"
君逸数码,2016-03-28,新三板,,人民币,,
西高院,2023-06-19,IPO上市,1121000000.0,人民币,1121000000.0,
安邦护卫,2023-12-20,IPO上市,513000000.0,人民币,513000000.0,
安邦护卫,2020-09-21,战略投资,,人民币,,浙江省财政厅
世纪恒通,2023-05-19,IPO上市,650000000.0,人民币,650000000.0,
世纪恒通,2018-05-24,战略投资,,人民币,,"融创投资,熔岩投资,诺延资本"
世纪恒通,2014-09-29,战略投资,,人民币,,"熔岩投资,贵阳高新投"
通达海,2023-03-20,IPO上市,1093000000.0,人民币,1093000000.0,
中科创达,2020-08-12,IPO上市后,1701000000.0000002,人民币,1701000000.0000002,"中金公司,易方达基金,太平洋保险,国泰君安,中信建投资本,阳光保险,嘉实投资-嘉实基金,大正投资集团,财通基金,中意资产"
中科创达,2015-11-23,IPO上市,582000000.0,人民币,582000000.0,
中科创达,2014-11-05,B轮,,美元,,英特尔投资Intel Capital
中科创达,2011-06-01,A轮,100000000.0,人民币,100000000.0,"北极光创投,高通Qualcomm Ventures,国科投资"
中科创达,2010-09-09,天使轮,,人民币,,PreAngel
永信至诚,2022-10-19,IPO上市,576000000.0,人民币,576000000.0,
永信至诚,2020-11-20,战略投资,200000000.0,人民币,200000000.0,"金融街资本,熙诚金睿"
永信至诚,2017-12-13,退市,,人民币,,
永信至诚,2017-06-19,新三板定增,75000000.0,人民币,75000000.0,"英华资本,奇安投资"
永信至诚,2016-05-23,新三板,,人民币,,
永信至诚,2015-05-12,B轮,,人民币,,奇虎360
永信至诚,2014-04-08,A轮,10000000.0,人民币,10000000.0,启明星辰
数科集团,2022-09-26,IPO上市,71200000.0,港元,56960000.0,
趣活科技,2020-07-10,IPO上市,33000000.0,美元,207900000.0,
趣活科技,2016-04-20,C轮,10000000.0,美元,63000000.0,"软银中国资本,锴明投资ClearVue"
趣活科技,2014-06-30,B轮,,美元,,"百度,软银中国资本"
趣活科技,2013-08-01,A轮,,美元,,软银中国资本
趣活科技,2012-03-02,天使轮,,人民币,,"PreAngel,起点资本,长石资本,查立"
声网Agora,2020-06-26,IPO上市,459999999.99999994,美元,2897999999.9999995,
声网Agora,2020-06-22,基石轮,160000000.0,美元,1008000000.0,"Dragoneer Investment Group,Coatue Management,Neumann Advisors,Vitruvian Partners维恩资本"
声网Agora,2018-11-21,C轮,70000000.0,美元,441000000.0,"五源资本,顺为资本,SIG海纳亚洲,Coatue Management"
声网Agora,2018-06-11,B+轮,30000000.0,美元,189000000.0,"五源资本,纪源资本,顺为资本,SIG海纳亚洲"
声网Agora,2015-09-17,B轮,20000000.0,美元,126000000.0,"IDG资本,五源资本,纪源资本,顺为资本,SIG海纳亚洲"
声网Agora,2014-03-12,A轮,,美元,,顺为资本
动力源,2004-04-01,IPO上市,249000000.00000003,人民币,249000000.00000003,
致远互联,2019-10-31,IPO上市,951000000.0,人民币,951000000.0,
致远互联,2016-04-01,C轮,,人民币,,"正和岛正和磁系资本,云鼎资本,新疆绿洲资本"
